,date,open,high,low,close,volume,feature_SMA,feature_MiddleBand,feature_UpperBand,feature_LowerBand,feature_RSI,feature_MACD,feature_open,feature_high,feature_low,feature_close,feature_volume
49,2023-10-02 13:06:00,28296.3,28312.73,28296.29,28311.27,26.68,28311.07,28294.19,28344.26,28244.13,50.46,6.468716545634379,28296.3,28312.73,28296.29,28311.27,26.68
50,2023-10-02 13:07:00,28311.26,28311.27,28307.37,28307.98,12.18,28311.4,28295.51,28343.41,28247.61,48.81,6.096307554471423,28311.26,28311.27,28307.37,28307.98,12.18
51,2023-10-02 13:08:00,28307.99,28307.99,28295.26,28300.54,54.14,28311.4,28296.68,28342.02,28251.35,45.15,5.487729982367455,28307.99,28307.99,28295.26,28300.54,54.14
52,2023-10-02 13:09:00,28300.54,28310.3,28300.52,28310.3,32.21,28311.66,28298.01,28340.86,28255.17,50.46,5.2760065147449495,28300.54,28310.3,28300.52,28310.3,32.21
53,2023-10-02 13:10:00,28310.29,28310.3,28300.95,28310.17,32.34,28311.77,28299.22,28339.88,28258.55,50.39,5.068332036578795,28310.29,28310.3,28300.95,28310.17,32.34
54,2023-10-02 13:11:00,28310.17,28310.17,28308.06,28310.16,26.36,28311.99,28300.62,28337.62,28263.62,50.39,4.869079825042718,28310.17,28310.17,28308.06,28310.16,26.36
55,2023-10-02 13:12:00,28310.16,28324.26,28310.15,28324.25,20.24,28312.97,28302.38,28334.96,28269.81,58.0,5.180891333839099,28310.16,28324.26,28310.15,28324.25,20.24
56,2023-10-02 13:13:00,28324.25,28330.0,28324.25,28329.99,17.2,28314.33,28303.99,28333.77,28274.21,60.68,5.648002801626717,28324.25,28330.0,28324.25,28329.99,17.2
57,2023-10-02 13:14:00,28330.0,28334.94,28329.99,28334.94,17.9,28315.35,28305.25,28334.81,28275.69,62.91,6.223975845383393,28330.0,28334.94,28329.99,28334.94,17.9
58,2023-10-02 13:15:00,28334.94,28334.94,28334.93,28334.94,8.74,28316.7,28306.38,28336.07,28276.7,62.91,6.716927508376102,28334.94,28334.94,28334.93,28334.94,8.74
59,2023-10-02 13:16:00,28334.94,28334.94,28330.13,28330.41,13.3,28317.55,28307.3,28337.07,28277.53,59.25,6.970752596120292,28334.94,28334.94,28330.13,28330.41,13.3
60,2023-10-02 13:17:00,28330.4,28337.73,28330.4,28337.72,6.89,28319.02,28308.6,28337.9,28279.3,63.03,7.441587279605301,28330.4,28337.73,28330.4,28337.72,6.89
61,2023-10-02 13:18:00,28337.73,28389.98,28337.72,28385.59,129.08,28322.48,28310.45,28346.62,28274.29,77.77,9.584210411925596,28337.73,28389.98,28337.72,28385.59,129.08
62,2023-10-02 13:19:00,28385.6,28388.36,28355.92,28358.42,50.4,28324.26,28311.62,28350.11,28273.14,62.37,10.463952307509317,28385.6,28388.36,28355.92,28358.42,50.4
63,2023-10-02 13:20:00,28358.42,28373.23,28358.42,28364.97,36.14,28326.41,28313.14,28353.91,28272.38,64.24,11.455158216202108,28358.42,28373.23,28358.42,28364.97,36.14
